id,CO2_working_capacity [mL/g]
1,289.07715
2,158.87732
3,119.86191
4,106.14874
5,101.395485
6,167.22632
7,88.57059
8,117.00908
9,195.98953
10,71.20495
11,124.42159
12,103.784904
13,69.26168
14,111.76823
15,56.17301
16,98.34793
17,183.09108
18,56.132816
19,55.904633
20,213.87794
21,159.22513
22,295.1794
23,337.5966
24,79.92565
25,144.3297
26,90.38481
27,98.26421
28,311.15976
29,113.97274
30,215.80048
31,268.28067
32,129.14497
33,81.71347
34,141.4336
35,116.51633
36,194.26042
37,107.22697
38,136.7065
39,162.93704
40,182.30634
41,91.30665
42,251.00903
43,66.9282
44,57.38989
45,166.81113
46,91.02577
47,160.5911
48,72.0422
49,288.02124
50,73.043724
51,97.35459
52,180.43813
53,89.41465
54,80.7135
55,99.00199
56,122.232765
57,67.45886
58,134.63902
59,70.71789
60,68.86882
61,118.6791
62,208.61081
63,109.03562
64,129.7825
65,59.19515
66,158.95721
67,121.64077
68,237.24051
69,177.03815
70,74.83294
71,146.56105
72,62.149857
73,223.91321
74,108.408875
75,145.19203
76,137.421
77,171.50293
78,139.45541
79,87.058
80,73.85225
81,174.3208
82,150.92908
83,113.787384
84,131.16792
85,225.33418
86,112.06407
87,103.95717
88,225.49751
89,67.09348
90,92.431885
91,69.29673
92,117.878845
93,99.8109
94,113.6589
95,69.494385
96,176.89682
97,111.83344
98,71.9082
99,88.2242
100,241.01212
101,59.406292
102,85.50909
103,97.159546
104,176.85283
105,114.07871
106,141.50897
107,158.02419
108,111.781456
109,99.26074
110,84.43058
111,115.12235
112,205.65184
113,106.54765
114,92.8658
115,170.69203
116,87.18445
117,248.97781
118,337.56168
119,78.345795
120,92.53155
121,211.70242
122,222.30002
123,85.96636
124,189.19432
125,104.18422
126,212.44766
127,218.37253
128,213.8649
129,93.27799
130,155.4533
131,108.26288
132,105.74213
133,70.95648
134,100.11787
135,269.64954
136,108.82792
137,83.677666
138,167.51584
139,125.87145
140,252.82329
141,90.107666
142,149.0861
143,221.94014
144,118.994896
145,148.41718
146,100.605156
147,194.47911
148,244.07677
149,91.0305
150,133.03128
151,73.82081
152,91.5955
153,237.24583
154,113.30795
155,124.98069
156,145.5376
157,131.7976
158,113.42043
159,67.66396
160,203.49873
161,109.97268
162,79.34391
163,99.73992
164,118.0319
165,89.69708
166,112.723045
167,237.20903
168,74.60015
169,183.18759
170,275.7235
171,174.93135
172,89.82215
173,86.41044
174,247.55984
175,76.7884
176,158.16927
177,67.23136
178,84.699936
179,183.68391
180,195.4415
181,225.30228
182,161.7137
183,74.42926
184,62.13658
185,88.43609
186,112.967384
187,85.98827
188,103.51577
189,64.64149
190,228.74944
191,395.4161
192,105.53725
193,77.64151
194,76.86314
195,74.6906
196,131.8399
197,255.20694
198,140.02722
199,213.57973
200,68.92243
201,60.777878
202,100.12228
203,84.49265
204,108.91495
205,147.35887
206,103.758575
207,143.3733
208,243.97911
209,84.1003
210,174.7646
211,81.84157
212,120.22471
213,249.7339
214,189.70407
215,74.30878
216,106.96305
217,118.92888
218,77.488525
219,120.32461
220,214.80997
221,155.1806
222,102.13702
223,110.346504
224,86.27993
225,169.1811
226,271.12717
227,228.4064
228,144.19911
229,172.87698
230,113.10488
231,151.83545
232,99.044136
233,194.3879
234,109.76518
235,188.40271
236,98.78715
237,149.97144
238,94.545845
239,143.17766
240,105.49057
241,55.500397
242,240.61778
243,83.34389
244,93.62154
245,114.14375
246,133.80382
247,296.07074
248,74.223045
249,161.53175
250,257.1525
251,82.28106
252,60.7486
253,215.99706
254,101.1029
255,72.56113
256,243.3986
257,362.97638
258,58.24482
259,94.31767
260,159.62563
261,207.06339
262,105.14192
263,91.732475
264,155.78473
265,118.95979
266,99.4904
267,190.4404
268,108.655334
269,182.28734
270,158.3124
271,107.03284
272,318.16818
273,108.18766
274,166.2712
275,115.11828
276,91.39125
277,131.85663
278,90.17626
279,90.39244
280,69.490135
281,148.63737
282,284.90213
283,136.00583
284,223.34413
285,125.202034
286,100.385185
287,87.664955
288,88.5009
289,128.02141
290,172.22894
291,342.85754
292,63.236637
293,118.699936
294,72.64538
295,92.26733
296,129.46149
297,137.47108
298,86.48394
299,216.30762
300,73.96582
301,70.67288
302,283.18515
303,85.25076
304,126.02447
305,69.300865
306,110.57552
307,90.588684
308,90.373276
309,92.06383
310,323.53397
311,175.88457
312,148.43802
313,183.82329
314,215.83026
315,56.4986
316,131.2304
317,128.68924
318,57.858105
319,173.84904
320,214.03014
321,65.45419
322,119.20633
323,142.57205
324,72.790474
325,173.36456
326,204.94101
327,137.60242
328,169.88147
329,156.72717
330,86.483604
331,90.984856
332,138.99887
333,86.44961
334,88.5688
335,238.36258
336,109.739044
337,315.0101
338,61.54796
339,216.23795
340,127.70033
341,120.34979
342,97.58443
343,98.964615
344,151.19962
345,106.90095
346,97.57527
347,118.06722
348,98.98206
349,170.16121
350,172.43852
351,82.52339
352,84.30211
353,74.0963
354,143.76488
355,170.70663
356,254.92761
357,133.02815
358,131.43596
359,197.4473
360,76.51088
361,99.39126
362,139.04607
363,109.41227
364,146.53847
365,109.38515
366,228.83424
367,68.87464
368,49.05719
369,195.83319
370,171.29553
371,194.93114
372,85.35194
373,221.10004
374,134.20921
375,181.5106
376,80.89827
377,168.72003
378,155.69635
379,165.494
380,95.0967
381,106.27396
382,91.59518
383,83.00276
384,93.94888
385,148.2885
386,56.867405
387,118.62211
388,110.55581
389,91.68782
390,251.6791
391,85.34886
392,95.59624
393,237.7937
394,180.654
395,67.55669
396,93.33357
397,201.18771
398,239.0413
399,125.57405
400,113.70807
401,141.03168
402,91.73665
403,82.13083
404,189.37297
405,110.67109
406,232.39871
407,67.667656
408,239.68405
409,123.84286
410,257.305
411,109.54288
412,336.91763
413,92.27067
414,80.3686
415,227.3789
416,180.53761
417,206.66692
418,96.74791
419,90.121544
420,152.27101
421,69.42982
422,79.71392
423,116.73983
424,110.28173
425,141.25429
426,84.07985
427,277.88373
428,199.8871
429,221.33585
430,95.12755
431,78.74541
432,139.7117
433,134.7183
434,91.814674
435,102.19656
436,112.681366
437,112.23718
438,84.06795
439,276.5722
440,134.13666
441,90.43963
442,59.694035
443,65.75706
444,163.14041
445,123.18374
446,70.04638
447,65.69837
448,71.88562
449,134.29575
450,156.02599
451,147.4074
452,151.43037
453,72.55497
454,65.468315
455,59.53246
456,75.61036
457,128.08598
458,103.7221
459,75.47216
460,118.59998
461,132.16322
462,218.85176
463,91.347855
464,54.811295
465,118.06938
466,283.5146
467,93.541985
468,156.6504
469,65.98141
470,304.42337
471,112.214035
472,100.188034
473,108.8908
474,56.67048
475,79.33691
476,173.9658
477,152.15015
478,131.27194
479,80.5439
480,96.92807
481,234.54431
